CookerStat, GenerateAssetRegistry=0.048328, Initialize=0.254028, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId16BBE1F448EA19644A1CBA9EB35B10F0_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_660726A047C2927550383F8D31513001_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.28-18.06.04, Duration=214.712265, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId82318B9B44A14BA65EDE02A9DC598088_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_660726A047C2927550383F8D31513001___E4261310C6827BE0699E0E38E182C3B841FFD2EB, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=262403, Duration=8.119881, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId80BA6EAC4057D656C3A1CD8B3A1AFCFB_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C25F0AA4434FAD95C399DCB32877C__1EDF00FCB9562E717B43F900063C2EC891004D4F, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=33031, Duration=51.863422, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId25C72E024D32D1F21FDB0F8904AE3A55_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C25F0AA4434FAD95C399DCB32877C__280A88EACD9BCBBE505626E96B2A7B43B3526266, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=8455, Duration=38.399990, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId16BBE1F448EA19644A1CBA9EB35B10F0_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DF45889644371608E2E167A00D0E9612_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.28-18.06.04, Duration=19.943260, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId25C72E024D32D1F21FDB0F8904AE3A55_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C25F0AA4434FAD95C399DCB32877C__3C5BFA81A17D8CFE09D86A05346BFF1F1568772B, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=4155, Duration=11.682250, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId82318B9B44A14BA65EDE02A9DC598088_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DF45889644371608E2E167A00D0E9612___443B7C5B121406914003AD4942611D4E7AB0E6B6, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=262403, Duration=12.842905, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId25C72E024D32D1F21FDB0F8904AE3A55_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DF45889644371608E2E167A00D0E9612___B9B78E453C5A2D47BC10970C4EE4FB7BA7A1EFE0, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=65795, Duration=19.558371, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId80BA6EAC4057D656C3A1CD8B3A1AFCFB_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DF45889644371608E2E167A00D0E9612___EF451734771F1E7FD2C45DBFD0445135812CF3B5, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=16643, Duration=46.453159, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId82318B9B44A14BA65EDE02A9DC598088_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DF45889644371608E2E167A00D0E9612___DF2A58CA17E68A9DB2FAE8BE60FCFA7DA2120DF0, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=6882, Duration=36.485378, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId16BBE1F448EA19644A1CBA9EB35B10F0_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_175FFFF34B3800668E3E95AD8254F9FF_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.28-18.06.04, Duration=87.530266, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId25C72E024D32D1F21FDB0F8904AE3A55_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_175FFFF34B3800668E3E95AD8254F__07A88AF74FC1E73AB09610F8C968130817CECAC3, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=524553, Duration=24.779610, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId82318B9B44A14BA65EDE02A9DC598088_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_175FFFF34B3800668E3E95AD8254F__36D14B777ED17E3D5FC75B48AED96537AE53896D, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=131335, Duration=23.818239, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId80BA6EAC4057D656C3A1CD8B3A1AFCFB_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_175FFFF34B3800668E3E95AD8254F__60DD8B40791EDDF0CEA9C6EA24FB368B50CCE7B2, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=33031, Duration=24.572193, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId82318B9B44A14BA65EDE02A9DC598088_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_175FFFF34B3800668E3E95AD8254F__54360FB6FDE14A1E68B0C73A350C5AF456C27A04, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=8455, Duration=30.558083, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId80BA6EAC4057D656C3A1CD8B3A1AFCFB_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_175FFFF34B3800668E3E95AD8254F__93E5E5D4F615EF636436CEFD35B5A384CC018943, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=4452, Duration=4.646901, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId16BBE1F448EA19644A1CBA9EB35B10F0_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_550B17DD4E4B41095ADB0B9395D1461E_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.28-18.06.05, Duration=366.032837, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId25C72E024D32D1F21FDB0F8904AE3A55_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_550B17DD4E4B41095ADB0B9395D1461E___28D98B9BACB0D754935FE389E58534CB52AB6BFA, StartTime=2016.04.28-18.06.05, HierarchicalDDC=, DataSize=4194565, Duration=140.548355, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId80BA6EAC4057D656C3A1CD8B3A1AFCFB_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_550B17DD4E4B41095ADB0B9395D1461E___9E48D523BD074D32C26379ECA6F407E7B68CFEF9, StartTime=2016.04.28-18.06.05, HierarchicalDDC=, DataSize=1048837, Duration=25.099066, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId82318B9B44A14BA65EDE02A9DC598088_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_550B17DD4E4B41095ADB0B9395D1461E___E972E517DD60D95E1C46DFC4007337E93E155A8C, StartTime=2016.04.28-18.06.05, HierarchicalDDC=, DataSize=262403, Duration=43.805119, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId16BBE1F448EA19644A1CBA9EB35B10F0_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE028A7_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.28-18.06.05, Duration=34.576756, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId80BA6EAC4057D656C3A1CD8B3A1AFCFB_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_550B17DD4E4B41095ADB0B9395D1461E___F6B3843AA2C3552BF9BB3A9EC0F3D6FD4CAACDF1, StartTime=2016.04.28-18.06.05, HierarchicalDDC=, DataSize=65795, Duration=7.575907, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId80BA6EAC4057D656C3A1CD8B3A1AFCFB_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_550B17DD4E4B41095ADB0B9395D1461E___7C98BD541A8AEDBB90702D519DD62E0FECD22B3B, StartTime=2016.04.28-18.06.05, HierarchicalDDC=, DataSize=16643, Duration=55.499344, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId82318B9B44A14BA65EDE02A9DC598088_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_550B17DD4E4B41095ADB0B9395D1461E___6773721C977F58677E206A77EB5EB90606B07256, StartTime=2016.04.28-18.06.05, HierarchicalDDC=, DataSize=7468, Duration=31.894934, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId82318B9B44A14BA65EDE02A9DC598088_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE02__4EE83C895828B45CA36D4968CBC323543A9A22B2, StartTime=2016.04.28-18.06.05, HierarchicalDDC=, DataSize=262407, Duration=5.082678, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId82318B9B44A14BA65EDE02A9DC598088_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE02__349CA13B15B01E106858DDDD0E3E3396DA218D6D, StartTime=2016.04.28-18.06.05, HierarchicalDDC=, DataSize=65799, Duration=4.832070, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId82318B9B44A14BA65EDE02A9DC598088_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE02__AC9285A4DAFDC0716DEF13130A9B06B3FE11A1AD, StartTime=2016.04.28-18.06.05, HierarchicalDDC=, DataSize=16647, Duration=66.119293, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId80BA6EAC4057D656C3A1CD8B3A1AFCFB_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_49EBE4F9430B027F3639729C4CE02__6569745CA631A9E5DFDCBA9FC53A8671E25127CD, StartTime=2016.04.28-18.06.05, HierarchicalDDC=, DataSize=6899, Duration=48.223225, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
